class_year,student_id,major1,major2,gender,fed_group,intern,research,service,career_related,job_field,FDS_cat,gs_select,gs_level,gs_type
2020,95,BIO,n/a,M,asian-amer,TRUE,TRUE,FALSE,completely,social services,service,FALSE,N/A,N/A
2020,6,SOC,n/a,F,two+,FALSE,FALSE,TRUE,slightly,government/public policy,employ,FALSE,N/A,N/A
2020,11,HIS,n/a,M,asian-amer,TRUE,FALSE,TRUE,moderately,government/public policy,other/seek,FALSE,N/A,N/A
2020,18,ENG,n/a,F,white,FALSE,TRUE,FALSE,slightly,government/public policy,other/seek,unknown,N/A,N/A
2020,54,POL,GRM,M,white,TRUE,FALSE,FALSE,moderately,government/public policy,conted,FALSE,N/A,N/A
2020,5,BIO,n/a,F,black/afamer,TRUE,FALSE,FALSE,moderately,healthcare,gradsch,TRUE,master,science
2020,30,PHY,n/a,F,international,TRUE,TRUE,TRUE,moderately,healthcare,employ,FALSE,N/A,N/A
2020,63,POL,ECN,F,white,TRUE,FALSE,FALSE,completely,healthcare,employ,FALSE,N/A,N/A
2020,65,BIO,n/a,F,unknown,FALSE,TRUE,FALSE,slightly,healthcare,fellow,FALSE,N/A,N/A
2020,75,BCM,n/a,M,asian-amer,FALSE,TRUE,TRUE,completely,healthcare,employ,FALSE,N/A,N/A
2020,41,IND,n/a,F,white,TRUE,TRUE,FALSE,not at all,law/legal services,gradsch,TRUE,doctoral,humanities
2020,64,BIO,n/a,F,international,TRUE,FALSE,FALSE,moderately,law/legal services,gradsch,TRUE,doctoral,science
2020,14,POL,n/a,F,white,TRUE,FALSE,TRUE,completely,research/science,employ,FALSE,N/A,N/A
2020,25,CSC,n/a,F,white,TRUE,FALSE,TRUE,moderately,research/science,employ,FALSE,N/A,N/A
2020,27,BIO,n/a,M,white,TRUE,TRUE,FALSE,moderately,research/science,employ,FALSE,N/A,N/A
2020,28,CSC,n/a,F,white,TRUE,TRUE,TRUE,moderately,research/science,service,FALSE,N/A,N/A
2020,35,BCM,FRN,F,white,FALSE,TRUE,FALSE,slightly,research/science,employ,FALSE,N/A,N/A
2020,42,SOC,GWSS,F,white,FALSE,FALSE,TRUE,moderately,research/science,gradsch,TRUE,master,social science
2020,45,PSY,n/a,F,international,TRUE,FALSE,TRUE,moderately,research/science,gradsch,TRUE,master,professional
2020,47,BCM,n/a,F,white,TRUE,TRUE,FALSE,moderately,research/science,employ,FALSE,N/A,N/A
2020,49,ECN,ARTS,F,white,TRUE,FALSE,TRUE,slightly,research/science,employ,FALSE,N/A,N/A
2020,50,ECN,n/a,M,two+,TRUE,TRUE,TRUE,slightly,research/science,employ,unknown,N/A,N/A
2020,52,CHM,n/a,M,unknown,TRUE,TRUE,FALSE,not at all,research/science,service,FALSE,N/A,N/A
2020,55,ENG,n/a,F,white,TRUE,FALSE,TRUE,slightly,research/science,fellow,FALSE,N/A,N/A
2020,78,ARTH,MAT,M,asian-amer,TRUE,TRUE,TRUE,moderately,research/science,employ,FALSE,N/A,N/A
2020,81,HIS,n/a,F,white,FALSE,TRUE,TRUE,moderately,research/science,gradsch,TRUE,master,humanities
2020,82,CSC,n/a,M,asian-amer,TRUE,FALSE,TRUE,completely,research/science,employ,FALSE,N/A,N/A
2020,85,BIO,n/a,F,white,FALSE,TRUE,TRUE,moderately,research/science,employ,unknown,N/A,N/A
2020,93,ANT,n/a,F,white,FALSE,TRUE,FALSE,moderately,research/science,other/seek,FALSE,N/A,N/A
2020,96,PHY,n/a,F,international,FALSE,FALSE,TRUE,slightly,research/science,employ,unknown,N/A,N/A
2020,97,BCM,FRN,F,international,FALSE,TRUE,TRUE,completely,research/science,employ,FALSE,N/A,N/A
2020,98,PSY,ENG,M,unknown,FALSE,TRUE,TRUE,slightly,research/science,gradsch,TRUE,master,social science
2020,46,ARTH,n/a,M,white,TRUE,FALSE,FALSE,moderately,sales/marketing,service,FALSE,N/A,N/A
2020,48,ANT,n/a,M,white,TRUE,TRUE,TRUE,not at all,sales/marketing,employ,FALSE,N/A,N/A
2020,88,BIO,n/a,M,international,FALSE,TRUE,TRUE,not at all,sales/marketing,employ,TRUE,master,science
2020,22,GPSY,n/a,F,international,FALSE,FALSE,TRUE,moderately,social services,employ,TRUE,master,social science
2020,40,PHI,PSY,F,hispanic,TRUE,FALSE,FALSE,moderately,social services,employ,FALSE,N/A,N/A
2020,59,BIO,n/a,F,white,TRUE,TRUE,TRUE,completely,social services,employ,FALSE,N/A,N/A
2020,79,BCM,n/a,F,white,TRUE,TRUE,TRUE,moderately,social services,gradsch,TRUE,master,science
